France Gate 2 weather rework — full steam — 2026-09-25
One fresh Open-Meteo HTTP fetch per scene. The retrieval timestamp is that response's HTTP Date header, recorded to the second.
Each scenario minute is the minute already baked on the master. It sits inside the model-valid hour cited for that scene.
Weather is model data, not an on-site observation. approval_status stays Candidate. Images, index.html, and manifests were not changed.
Scenes reworked: 248

Entry | Retrieval timestamp (UTC) | Model-valid hour | Scenario
FR-01-001 | 2026-09-25T23:46:38Z | 2026-09-23T14:00 Europe/Paris | 23 September 2026 · 14:50 Europe/Paris
FR-01-002 | 2026-09-25T23:46:40Z | 2026-09-23T14:00 Europe/Paris | 23 September 2026 · 14:51 Europe/Paris
FR-01-003 | 2026-09-25T23:46:41Z | 2026-09-23T14:00 Europe/Paris | 23 September 2026 · 14:52 Europe/Paris
FR-01-004 | 2026-09-25T23:46:42Z | 2026-09-23T14:00 Europe/Paris | 23 September 2026 · 14:53 Europe/Paris
FR-01-005 | 2026-09-25T23:46:43Z | 2026-09-23T14:00 Europe/Paris | 23 September 2026 · 14:58 Europe/Paris
FR-01-006 | 2026-09-25T23:46:44Z | 2026-09-23T14:00 Europe/Paris | 23 September 2026 · 14:59 Europe/Paris
FR-01-007 | 2026-09-25T23:46:45Z | 2026-09-23T15:00 Europe/Paris | 23 September 2026 · 15:00 Europe/Paris
FR-01-008 | 2026-09-25T23:46:47Z | 2026-09-23T15:00 Europe/Paris | 23 September 2026 · 15:01 Europe/Paris
FR-01-010 | 2026-09-25T23:46:48Z | 2026-09-23T15:00 Europe/Paris | 23 September 2026 · 15:06 Europe/Paris
FR-01-011 | 2026-09-25T23:46:49Z | 2026-09-23T15:00 Europe/Paris | 23 September 2026 · 15:07 Europe/Paris
FR-01-125 | 2026-09-25T23:46:50Z | 2026-09-23T21:00 Europe/Paris | 23 September 2026 · 21:00 Europe/Paris
FR-01-126 | 2026-09-25T23:46:51Z | 2026-09-23T21:00 Europe/Paris | 23 September 2026 · 21:00 Europe/Paris
FR-01-127 | 2026-09-25T23:46:52Z | 2026-09-23T21:00 Europe/Paris | 23 September 2026 · 21:00 Europe/Paris
FR-01-128 | 2026-09-25T23:46:54Z | 2026-09-23T15:00 America/Guadeloupe | 23 September 2026 · 15:00 America/Guadeloupe
FR-01-129 | 2026-09-25T23:46:55Z | 2026-09-23T15:00 America/Guadeloupe | 23 September 2026 · 15:30 America/Guadeloupe
FR-01-130 | 2026-09-25T23:46:56Z | 2026-09-23T15:00 America/Martinique | 23 September 2026 · 15:30 America/Martinique
FR-01-131 | 2026-09-25T23:46:57Z | 2026-09-23T23:00 Indian/Reunion | 23 September 2026 · 23:30 Indian/Reunion
FR-01-132 | 2026-09-25T23:46:59Z | 2026-09-23T16:00 America/Cayenne | 23 September 2026 · 16:30 America/Cayenne
FR-01-133 | 2026-09-25T23:47:00Z | 2026-09-23T22:00 Indian/Mayotte | 23 September 2026 · 22:30 Indian/Mayotte
FR-01-134 | 2026-09-25T23:47:01Z | 2026-09-23T15:00 America/St_Barthelemy | 23 September 2026 · 15:30 America/St_Barthelemy
FR-01-135 | 2026-09-25T23:47:02Z | 2026-09-23T21:00 Europe/Paris | 23 September 2026 · 21:30 Europe/Paris
FR-01-136 | 2026-09-25T23:47:03Z | 2026-09-23T21:00 Europe/Paris | 23 September 2026 · 21:30 Europe/Paris
FR-01-137 | 2026-09-25T23:47:05Z | 2026-09-23T21:00 Europe/Paris | 23 September 2026 · 21:30 Europe/Paris
FR-01-138 | 2026-09-25T23:47:06Z | 2026-09-23T21:00 Europe/Paris | 23 September 2026 · 21:30 Europe/Paris
FR-01-139 | 2026-09-25T23:47:07Z | 2026-09-23T21:00 Europe/Paris | 23 September 2026 · 21:30 Europe/Paris
FR-01-140 | 2026-09-25T23:47:08Z | 2026-09-23T21:00 Europe/Paris | 23 September 2026 · 21:30 Europe/Paris
FR-01-141 | 2026-09-25T23:47:09Z | 2026-09-23T21:00 Europe/Paris | 23 September 2026 · 21:30 Europe/Paris
FR-01-142 | 2026-09-25T23:47:57Z | 2026-09-23T21:00 Europe/Paris | 23 September 2026 · 21:30 Europe/Paris
FR-01-143 | 2026-09-25T23:47:58Z | 2026-09-23T21:00 Europe/Paris | 23 September 2026 · 21:30 Europe/Paris
FR-01-144 | 2026-09-25T23:47:59Z | 2026-09-23T21:00 Europe/Paris | 23 September 2026 · 21:30 Europe/Paris
FR-01-145 | 2026-09-25T23:48:47Z | 2026-09-23T16:00 America/Marigot | 23 September 2026 · 16:00 America/Marigot
FR-01-146 | 2026-09-25T23:48:48Z | 2026-09-23T18:00 America/Miquelon | 23 September 2026 · 18:00 America/Miquelon
FR-01-147 | 2026-09-25T23:48:49Z | 2026-09-23T10:00 Pacific/Tahiti | 23 September 2026 · 10:00 Pacific/Tahiti
FR-01-148 | 2026-09-25T23:49:37Z | 2026-09-24T07:00 Pacific/Noumea | 24 September 2026 · 07:00 Pacific/Noumea
FR-01-149 | 2026-09-25T23:49:38Z | 2026-09-23T16:00 America/Martinique | 23 September 2026 · 16:00 America/Martinique
FR-01-150 | 2026-09-25T23:50:27Z | 2026-09-24T00:00 Indian/Reunion | 24 September 2026 · 00:00 Indian/Reunion
FR-01-151 | 2026-09-25T23:50:28Z | 2026-09-23T17:00 America/Cayenne | 23 September 2026 · 17:00 America/Cayenne
FR-01-152 | 2026-09-25T23:50:29Z | 2026-09-23T23:00 Indian/Mayotte | 23 September 2026 · 23:00 Indian/Mayotte
FR-01-153 | 2026-09-25T23:50:30Z | 2026-09-23T16:00 America/St_Barthelemy | 23 September 2026 · 16:00 America/St_Barthelemy
FR-01-154 | 2026-09-25T23:50:32Z | 2026-09-23T22:00 Europe/Paris | 23 September 2026 · 22:00 Europe/Paris
FR-01-155 | 2026-09-25T23:50:33Z | 2026-09-23T22:00 Europe/Paris | 23 September 2026 · 22:00 Europe/Paris
FR-01-156 | 2026-09-25T23:50:34Z | 2026-09-23T22:00 Europe/Paris | 23 September 2026 · 22:00 Europe/Paris
FR-01-157 | 2026-09-25T23:50:35Z | 2026-09-23T22:00 Europe/Paris | 23 September 2026 · 22:00 Europe/Paris
FR-01-158 | 2026-09-25T23:50:36Z | 2026-09-23T22:00 Europe/Paris | 23 September 2026 · 22:00 Europe/Paris
FR-01-159 | 2026-09-25T23:50:37Z | 2026-09-23T22:00 Europe/Paris | 23 September 2026 · 22:00 Europe/Paris
FR-01-160 | 2026-09-25T23:50:39Z | 2026-09-23T22:00 Europe/Paris | 23 September 2026 · 22:00 Europe/Paris
FR-01-161 | 2026-09-25T23:50:40Z | 2026-09-23T16:00 America/Marigot | 23 September 2026 · 16:15 America/Marigot
FR-01-162 | 2026-09-25T23:50:41Z | 2026-09-23T18:00 America/Miquelon | 23 September 2026 · 18:15 America/Miquelon
FR-01-163 | 2026-09-25T23:50:42Z | 2026-09-23T10:00 Pacific/Tahiti | 23 September 2026 · 10:15 Pacific/Tahiti
FR-01-164 | 2026-09-25T23:50:43Z | 2026-09-24T07:00 Pacific/Noumea | 24 September 2026 · 07:15 Pacific/Noumea
FR-01-165 | 2026-09-25T23:50:45Z | 2026-09-23T16:00 America/Guadeloupe | 23 September 2026 · 16:15 America/Guadeloupe
FR-01-166 | 2026-09-25T23:50:46Z | 2026-09-23T16:00 America/Martinique | 23 September 2026 · 16:15 America/Martinique
FR-01-167 | 2026-09-25T23:50:47Z | 2026-09-24T00:00 Indian/Reunion | 24 September 2026 · 00:15 Indian/Reunion
FR-01-168 | 2026-09-25T23:50:49Z | 2026-09-23T17:00 America/Cayenne | 23 September 2026 · 17:15 America/Cayenne
FR-01-169 | 2026-09-25T23:50:50Z | 2026-09-23T23:00 Indian/Mayotte | 23 September 2026 · 23:15 Indian/Mayotte
FR-01-170 | 2026-09-25T23:50:51Z | 2026-09-23T16:00 America/St_Barthelemy | 23 September 2026 · 16:15 America/St_Barthelemy
FR-01-171 | 2026-09-25T23:50:52Z | 2026-09-23T22:00 Europe/Paris | 23 September 2026 · 22:15 Europe/Paris
FR-01-172 | 2026-09-25T23:50:53Z | 2026-09-23T22:00 Europe/Paris | 23 September 2026 · 22:15 Europe/Paris
FR-01-173 | 2026-09-25T23:50:55Z | 2026-09-23T22:00 Europe/Paris | 23 September 2026 · 22:15 Europe/Paris
FR-01-174 | 2026-09-25T23:50:56Z | 2026-09-23T22:00 Europe/Paris | 23 September 2026 · 22:15 Europe/Paris
FR-01-175 | 2026-09-25T23:50:57Z | 2026-09-23T22:00 Europe/Paris | 23 September 2026 · 22:15 Europe/Paris
FR-01-176 | 2026-09-25T23:50:58Z | 2026-09-23T22:00 Europe/Paris | 23 September 2026 · 22:15 Europe/Paris
FR-01-177 | 2026-09-25T23:51:00Z | 2026-09-23T16:00 America/Marigot | 23 September 2026 · 16:30 America/Marigot
FR-01-178 | 2026-09-25T23:51:01Z | 2026-09-23T18:00 America/Miquelon | 23 September 2026 · 18:30 America/Miquelon
FR-01-179 | 2026-09-25T23:51:02Z | 2026-09-23T10:00 Pacific/Tahiti | 23 September 2026 · 10:30 Pacific/Tahiti
FR-01-180 | 2026-09-25T23:51:03Z | 2026-09-24T07:00 Pacific/Noumea | 24 September 2026 · 07:30 Pacific/Noumea
FR-01-181 | 2026-09-25T23:51:05Z | 2026-09-23T16:00 America/Guadeloupe | 23 September 2026 · 16:30 America/Guadeloupe
FR-01-182 | 2026-09-25T23:51:06Z | 2026-09-23T16:00 America/Martinique | 23 September 2026 · 16:30 America/Martinique
FR-01-183 | 2026-09-25T23:51:07Z | 2026-09-24T00:00 Indian/Reunion | 24 September 2026 · 00:30 Indian/Reunion
FR-01-184 | 2026-09-25T23:51:08Z | 2026-09-23T17:00 America/Cayenne | 23 September 2026 · 17:30 America/Cayenne
FR-01-185 | 2026-09-25T23:51:09Z | 2026-09-23T23:00 Indian/Mayotte | 23 September 2026 · 23:30 Indian/Mayotte
FR-01-186 | 2026-09-25T23:51:10Z | 2026-09-23T16:00 America/St_Barthelemy | 23 September 2026 · 16:30 America/St_Barthelemy
FR-01-187 | 2026-09-25T23:51:11Z | 2026-09-23T22:00 Europe/Paris | 23 September 2026 · 22:30 Europe/Paris
FR-01-188 | 2026-09-25T23:51:13Z | 2026-09-23T22:00 Europe/Paris | 23 September 2026 · 22:30 Europe/Paris
FR-01-189 | 2026-09-25T23:51:14Z | 2026-09-23T22:00 Europe/Paris | 23 September 2026 · 22:30 Europe/Paris
FR-01-190 | 2026-09-25T23:51:15Z | 2026-09-23T22:00 Europe/Paris | 23 September 2026 · 22:30 Europe/Paris
FR-01-191 | 2026-09-25T23:51:16Z | 2026-09-23T22:00 Europe/Paris | 23 September 2026 · 22:30 Europe/Paris
FR-01-192 | 2026-09-25T23:51:18Z | 2026-09-23T22:00 Europe/Paris | 23 September 2026 · 22:30 Europe/Paris
FR-01-193 | 2026-09-25T23:51:19Z | 2026-09-23T16:00 America/Marigot | 23 September 2026 · 16:45 America/Marigot
FR-01-194 | 2026-09-25T23:51:20Z | 2026-09-23T18:00 America/Miquelon | 23 September 2026 · 18:45 America/Miquelon
FR-01-195 | 2026-09-25T23:51:21Z | 2026-09-23T10:00 Pacific/Tahiti | 23 September 2026 · 10:45 Pacific/Tahiti
FR-01-197 | 2026-09-25T23:51:23Z | 2026-09-23T16:00 America/Guadeloupe | 23 September 2026 · 16:45 America/Guadeloupe
FR-01-198 | 2026-09-25T23:51:24Z | 2026-09-23T17:00 America/Cayenne | 23 September 2026 · 17:45 America/Cayenne
FR-01-199 | 2026-09-25T23:51:25Z | 2026-09-24T00:00 Indian/Reunion | 24 September 2026 · 00:45 Indian/Reunion
FR-01-200 | 2026-09-25T23:51:26Z | 2026-09-23T16:00 America/Martinique | 23 September 2026 · 16:45 America/Martinique
FR-01-201 | 2026-09-25T23:51:27Z | 2026-09-23T23:00 Indian/Mayotte | 23 September 2026 · 23:45 Indian/Mayotte
FR-01-202 | 2026-09-25T23:51:28Z | 2026-09-23T16:00 America/St_Barthelemy | 23 September 2026 · 16:45 America/St_Barthelemy
